Date,AAPL,ABT,AMD,AMGN,AMZN,BA,BAC,BMY,C,CAT,COST,CVS,CVX,DIA,F,GE,GM,GOOG,GS,HD,HON,IBM,INTC,IWM,JNJ,JPM,KO,LMT,MCD,MDT,META,MMM,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,QQQ,SBUX,SPY,TGT,TMO,UNH,WFC,WMT,XOM
2022-01-03,178.27032470703125,128.99612426757812,150.24000549316406,201.08358764648438,170.4044952392578,207.86000061035156,41.93102264404297,52.54935073852539,54.39301681518555,192.1583251953125,540.298583984375,90.82856750488281,102.61583709716797,341.5837707519531,16.60118865966797,58.86448287963867,59.13658905029297,144.08847045898438,358.9866638183594,371.7283630371094,180.0923614501953,116.16973114013672,49.35049057006836,214.61439514160156,153.54559326171875,145.58323669433594,52.996700286865234,320.6370544433594,246.55711364746094,94.011962890625,336.4657897949219,128.0758819580078,68.5495376586914,87.45115661621094,324.504638671875,155.48509216308594,30.064435958862305,83.25169372558594,154.08409118652344,46.12563705444336,147.3597412109375,392.1841125488281,106.7436294555664,453.2103576660156,204.65713500976562,638.2632446289062,472.63641357421875,45.82843017578125,45.85870361328125,55.607398986816406
2022-01-04,176.00779724121094,125.96235656738281,144.4199981689453,202.1036834716797,167.52200317382812,213.6300048828125,43.57447814941406,52.76164627075195,54.81540298461914,202.44386291503906,537.93408203125,90.9419174194336,104.48299407958984,343.62933349609375,18.53812026977539,60.77892303466797,63.5546760559082,143.43495178222656,370.0196838378906,375.5490417480469,182.00820922851562,117.86054992675781,49.28556442260742,214.29051208496094,153.13388061523438,151.10226440429688,53.8814697265625,327.54095458984375,246.492919921875,94.26892852783203,334.46807861328125,129.8701629638672,68.67438507080078,91.003662109375,318.94024658203125,157.109130859375,29.235000610351562,84.14196014404297,154.30679321289062,44.399497985839844,147.8754119873047,387.0973205566406,104.51143646240234,453.05859375,206.6159210205078,611.6209106445312,461.92803955078125,47.653255462646484,45.01856994628906,57.699012756347656
2022-01-05,171.3259735107422,125.3963851928711,136.14999389648438,199.70867919921875,164.35699462890625,213.07000732421875,42.83900451660156,52.787113189697266,54.177513122558594,203.99415588378906,524.2910766601562,92.26737213134766,105.16272735595703,340.098388671875,18.042451858520508,60.77892303466797,60.6544075012207,136.71788024902344,361.98333740234375,370.45477294921875,183.80218505859375,118.03132629394531,49.96261215209961,207.03257751464844,154.15426635742188,148.33982849121094,54.32831573486328,324.05731201171875,245.2810821533203,93.93222045898438,322.183837890625,129.33689880371094,70.34196472167969,88.75170135498047,306.69683837890625,153.20004272460938,27.552165985107422,81.88783264160156,154.8323974609375,45.29513931274414,148.54483032226562,375.2052307128906,101.03501892089844,444.35882568359375,201.93072509765625,612.1358642578125,460.7894287109375,47.237701416015625,45.62726593017578,58.416648864746094
2022-01-06,168.46600341796875,125.37783813476562,136.22999572753906,199.73529052734375,163.25399780273438,211.33999633789062,43.70159912109375,52.66718673706055,55.95326614379883,206.07351684570312,524.1766967773438,89.45951080322266,106.05758666992188,338.5103759765625,18.652503967285156,61.133663177490234,60.78008270263672,136.61610412597656,360.4396057128906,369.1085205078125,183.59317016601562,115.57198333740234,50.09246063232422,208.21363830566406,153.6261749267578,149.91575622558594,54.042335510253906,323.9306640625,247.5760955810547,93.01070404052734,330.42303466796875,128.26327514648438,70.29737854003906,90.27046203613281,304.2732849121094,152.0575408935547,28.125085830688477,82.07795715332031,154.8679962158203,44.65190505981445,147.2964630126953,374.9416198730469,101.67543029785156,443.9415588378906,204.1277313232422,613.9962768554688,441.93212890625,48.44822692871094,45.500457763671875,59.7906379699707
2022-01-07,168.6325225830078,125.76752471923828,132.0,201.61581420898438,162.5540008544922,215.5,44.65499496459961,53.82367706298828,56.703208923339844,208.11578369140625,511.1915283203125,90.85472869873047,107.58055114746094,338.43560791015625,18.637258529663086,62.02055358886719,60.20002365112305,136.07333374023438,360.9662780761719,358.0560302734375,187.886474609375,115.136474609375,49.56379318237305,205.80386352539062,155.70278930664062,151.40115356445312,53.91720962524414,325.8670349121094,245.16177368164062,93.17904663085938,329.7571716308594,129.66839599609375,71.60826873779297,90.82035827636719,304.428466796875,148.2145538330078,27.195838928222656,83.1902084350586,155.06398010253906,45.36841583251953,147.21502685546875,370.87994384765625,98.40943145751953,442.18634033203125,203.6248016357422,600.8037719726562,431.5342712402344,49.478092193603516,45.934783935546875,60.280731201171875
2022-01-10,168.652099609375,125.48918151855469,132.0,204.34791564941406,161.48599243164062,209.30999755859375,44.42799377441406,55.76828384399414,56.91871643066406,205.7486572265625,494.6214294433594,91.61337280273438,107.64939880371094,337.0158996582031,18.18733787536621,60.80950164794922,59.03990936279297,137.6321563720703,362.47369384765625,352.4615783691406,185.8922119140625,115.30726623535156,51.20541763305664,205.0894775390625,154.93301391601562,151.54608154296875,54.006587982177734,328.6810607910156,242.72901916503906,93.58663940429688,326.0599670410156,127.83812713623047,73.4542236328125,90.89019012451172,304.6513977050781,142.04881286621094,27.34854507446289,84.8728256225586,155.1441192626953,45.79180908203125,145.2068328857422,371.1240234375,97.00055694580078,441.6361083984375,200.66015625,618.5885009765625,437.556640625,50.002037048339844,45.84602737426758,59.921913146972656
2022-01-11,171.48268127441406,125.89739227294922,137.30999755859375,206.13087463378906,165.36199951171875,216.02000427246094,44.6822395324707,56.093814849853516,57.849693298339844,204.17979431152344,497.7009582519531,92.46795654296875,110.11023712158203,338.6505126953125,18.568628311157227,62.25910568237305,59.41695785522461,139.06582641601562,365.9969177246094,351.74285888671875,188.3741455078125,113.4627685546875,51.854637145996094,207.27069091796875,153.2860107421875,151.70008850097656,54.02445983886719,329.4862976074219,240.62681579589844,95.59803009033203,332.3213195800781,128.9694366455078,72.8299789428711,92.45259857177734,305.33966064453125,141.91661071777344,27.76476287841797,84.1123275756836,155.07286071777344,46.158206939697266,143.52427673339844,376.6990661621094,95.18002319335938,445.6586608886719,200.77487182617188,614.09521484375,441.32061767578125,50.64345169067383,45.716033935546875,62.44235610961914
2022-01-12,171.9234619140625,124.06040954589844,137.47000122070312,205.58091735839844,165.20700073242188,217.4499969482422,44.36443328857422,55.52842330932617,57.996238708496094,206.45413208007812,501.2950744628906,92.24122619628906,109.55956268310547,339.03350830078125,18.660133361816406,62.534332275390625,59.001243591308594,140.6852569580078,354.4281311035156,354.2263488769531,190.0635986328125,114.07759857177734,51.69697570800781,205.7276611328125,151.97918701171875,152.5605010986328,54.10489273071289,326.9166259765625,239.52525329589844,96.53726196289062,331.2181396484375,129.28646850585938,72.41085052490234,89.947509765625,308.5289306640625,143.72007751464844,27.946428298950195,83.9507064819336,154.90359497070312,46.12563705444336,143.84085083007812,378.19287109375,95.02452850341797,446.86346435546875,198.0572967529297,618.7467651367188,445.7619934082031,50.95059585571289,45.47508239746094,62.25857925415039
2022-01-13,168.652099609375,120.70870208740234,132.74000549316406,204.773681640625,161.21400451660156,223.89999389648438,44.27362823486328,55.33995819091797,58.4272346496582,210.7243194580078,492.79083251953125,91.85753631591797,109.10354614257812,337.3988342285156,19.079547882080078,62.66889953613281,59.716651916503906,138.1853485107422,354.8731994628906,352.02490234375,191.09121704101562,115.0766830444336,50.95499801635742,203.84173583984375,151.05723571777344,152.3702850341797,54.4266357421875,330.4273986816406,239.9750213623047,96.38662719726562,324.47967529296875,130.43939208984375,72.51788330078125,89.51107025146484,295.47125244140625,141.2462158203125,26.52509880065918,83.45638275146484,155.1530303955078,45.22185134887695,143.18954467773438,368.73199462890625,93.6797103881836,440.70635986328125,199.25726318359375,594.6876220703125,439.8431396484375,50.589237213134766,46.11867141723633,61.81223678588867
2022-01-14,169.51402282714844,119.32145690917969,136.8800048828125,208.77427673339844,162.13800048828125,225.9600067138672,43.5018424987793,55.62266159057617,57.69453430175781,212.52520751953125,479.5482177734375,92.62490844726562,110.96208953857422,335.4746398925781,19.209182739257812,63.097042083740234,59.06892013549805,138.83642578125,345.9195556640625,338.3979797363281,189.5410919189453,114.60704803466797,51.659881591796875,204.12747192382812,150.2337188720703,143.00506591796875,54.864540100097656,337.1592712402344,236.57838439941406,96.18282318115234,329.8664245605469,128.79649353027344,72.57136535644531,86.30770111083984,300.70599365234375,139.9148712158203,26.89140510559082,83.36131286621094,156.45355224609375,44.74147033691406,144.56454467773438,371.02642822265625,91.5938720703125,440.8865661621094,195.34849548339844,588.6605834960938,441.0288391113281,52.45020294189453,45.98869323730469,62.89743423461914
